Date,Total
07/11/2021,170106288903.14044
08/11/2021,174665702001.28018
09/11/2021,178801671550.07672
10/11/2021,177031212798.42764
11/11/2021,172607768096.7614
12/11/2021,174835422420.88232
13/11/2021,174762041181.66858
14/11/2021,175013119518.42767
15/11/2021,176294627119.72263
16/11/2021,172552522339.54214
17/11/2021,165256265933.21533
18/11/2021,167611669167.7743
19/11/2021,159885295153.17078
20/11/2021,169028831427.21848
21/11/2021,173265625308.93033
22/11/2021,171102743430.79602
23/11/2021,166651901630.96304
24/11/2021,172181273586.39725
25/11/2021,171345014382.3242
26/11/2021,175042403872.3635
27/11/2021,162519841853.0922
28/11/2021,164014033268.25488
29/11/2021,170178461819.31613
30/11/2021,174479696807.7996
01/12/2021,177745504594.4036
02/12/2021,178152239549.7737
03/12/2021,176037717784.97318
04/12/2021,166367812501.88647
05/12/2021,158476171842.18356
06/12/2021,159002875390.33466
07/12/2021,163581351564.9533
08/12/2021,165813624761.19067
09/12/2021,168106863948.65402
10/12/2021,159901911506.11618
11/12/2021,154973842990.16425
12/12/2021,158397081075.44205
13/12/2021,159959810687.43903
14/12/2021,150917609409.98547
15/12/2021,153704277776.02078
16/12/2021,158597567246.07733
17/12/2021,157412875599.19388
18/12/2021,156105924349.6417
19/12/2021,159864132417.2975
20/12/2021,160394646737.33966
21/12/2021,160389809429.4319
22/12/2021,165819934804.36917
23/12/2021,165671830617.49106
24/12/2021,170869854781.58884
25/12/2021,170095844938.46127
26/12/2021,171593840733.1449
27/12/2021,173082764267.61496
28/12/2021,170153508239.00137
29/12/2021,164444127377.22546
30/12/2021,161440621751.50494
31/12/2021,163188766565.08392
01/01/2022,163215811611.5381
02/01/2022,166529191713.9679
03/01/2022,167674068743.2145
04/01/2022,167791485939.0413
05/01/2022,167806592234.31235
06/01/2022,161317180464.0052
07/01/2022,158425570663.24448
08/01/2022,153627706828.7542
09/01/2022,150700164689.17758
10/01/2022,152684669133.17615
11/01/2022,150275587366.99625
12/01/2022,155081766213.16037
13/01/2022,158892358408.8321
14/01/2022,156499017599.32947
15/01/2022,158002757611.1374
16/01/2022,158536673790.90182
17/01/2022,159981345782.36356
18/01/2022,156000187817.28198
19/01/2022,155996691973.1724
20/01/2022,155188236147.02774
21/01/2022,153308195116.6799
22/01/2022,136002343199.59528
